ID_Estudiante,Estilo_Danza,Origen_Estilo,Categoria,Dificultad,Edad_Inicio_Danza,Nivel_Habilidad,Nivel_Tecnico,Frecuencia_Practica,Tipo_Academia,Edad_Estudiante,Anos_Experiencia,Horas_Practica_Semanal,Presentaciones_Anio,Competiciones_Participadas,Premios_Ganados,Costo_Mensual_USD,Puntaje_Tecnico,Puntaje_Artistico,Flexibilidad_Grados,IMC_Estudiante,Altura_CM
22001.0,Flamenco,ESPAÑA,LATINA,Alta,11.0,Profesional,Avanzado, Diaria ,PROFESIONAL,46.0,14.0,11.0,6.0,2.0,1.0,32.67,76.5,76.4,152.0,21.1,164.0
22002.0,Ballet Clásico,FRANCIA,  Clasica,Muy Alta,8.0,maestro,intermedio,ocasional, Profesional ,36.0,13.0,12.0,5.0,4.0,1.0,5.55,94.4,85.0,167.0,17.5,170.0
22003.0,HIP HOP, Estados Unidos ,Urbana ,Media,11.0,principiante, avanzado ,5-6 VECES/SEMANA,RECREATIVA,22.0,6.0,7.0,6.0,2.0,0.0,296.22,64.2,69.5,124.0,26.1,160.0
22004.0,danza moderna,ESTADOS UNIDOS,Contemporanea ,Alta,11.0,PROFESIONAL,EXPERTO,1-2 veces/semana, Universitaria ,50.0,16.0,13.0,5.0,6.0,1.0,135.85,86.2,88.3,151.0,26.7,163.0
22005.0,folclor mexicano, Mexico ,Folklorica ,Media,19.0,PRINCIPIANTE, Básico ,1-2 VECES/SEMANA, Universitaria ,15.0,-4.0,11.0,4.0,2.0,2.0,,,97.8,85.0,21.5,155.0
22006.0,flamenco,ESPAÑA,LATINA,Alta,21.0,AVANZADO,INTERMEDIO, 5-6 veces/semana ,Recreativa,28.0,2.0,5.0,7.0,0.0,1.0,222.4,74.0,90.8,176.0,24.1,165.0
22007.0,vals,Austria,Salon,Media,32.0,Avanzado, avanzado ,1-2 veces/semana, Recreativa ,46.0,7.0,14.0,1.0,5.0,1.0,7.12,76.4,69.2,103.0,21.5,157.0
22008.0, Ballet Ruso , Rusia ,clasica,Muy Alta,6.0,AVANZADO,AVANZADO,3-4 VECES/SEMANA, Profesional ,26.0,13.0,12.0,8.0,3.0,0.0,38.97,78.8,82.3,195.0,17.0,154.0
22009.0,Locking,Estados Unidos,URBANA,Media,17.0, Principiante ,Avanzado,1-2 VECES/SEMANA,Recreativa,30.0,7.0,8.0,4.0,2.0,0.0,5.89,73.3,62.5,140.0,19.8,168.0
22010.0,ballet  clasico,  Francia,clasica,Muy Alta,5.0,Profesional,Avanzado,1-2 veces/semana,Universitaria,18.0,4.0,7.0,5.0,5.0,0.0,18.94,78.2,84.9,144.0,21.4,167.0
22011.0,Danza Moderna,Estados Unidos ,CONTEMPORANEA,Alta,8.0,Maestro,Básico,1-2 veces/semana,RECREATIVA,18.0,5.0,7.0,3.0,4.0,0.0,20.84,98.7,83.4,,19.6,173.0
22012.0,Bachata,Republica Dominicana,latina,Media,19.0,Principiante, avanzado , Diaria ,recreativa,31.0,6.0,9.0,7.0,4.0,3.0,50.66,89.8,55.6,141.0,20.3,161.0
22013.0,ballet clasico,FRANCIA,CLASICA,Muy Alta,8.0,maestro, intermedio ,3-4 VECES/SEMANA,Recreativa,43.0,19.0,13.0,2.0,7.0,0.0,25.02,88.0,64.1,193.0,20.7,169.0
22014.0, Danza Moderna ,estados unidos,Contemporanea,Alta,15.0,PROFESIONAL,Básico,1-2 veces/semana,PROFESIONAL,47.0,17.0,7.0,5.0,2.0,0.0,8.52,68.2,74.6,,20.8,171.0
22015.0,flamenco,  España,  Latina,Alta,20.0,profesional,basico,3-4 VECES/SEMANA,recreativa,31.0,5.0,11.0,10.0,2.0,0.0,14.66,61.7,74.4,,21.2,169.0
22016.0,Bachata,Republica Dominicana,Latina ,Media,17.0,principiante,EXPERTO,3-4 veces/semana, Independiente ,10.0,-7.0,11.0,7.0,5.0,0.0,5000.0,89.3,63.5,160.0,17.8,157.0
22017.0, Danza Moderna ,  Estados Unidos,contemporanea,Alta,8.0,INTERMEDIO,Avanzado, 3-4 veces/semana ,INDEPENDIENTE,29.0,7.0,10.0,7.0,4.0,1.0,289.18,88.1,82.7,114.0,18.8,166.0
22018.0, Merengue ,Republica Dominicana,LATINA,Baja,20.0,Maestro,INTERMEDIO,5-6 veces/semana,INDEPENDIENTE,9.0,-11.0,13.0,10.0,3.0,0.0,113.93,97.1,81.0,118.0,17.1,169.0
22019.0, Folclor Venezolano ,Venezuela,Folklorica,Media,14.0, avanzado ,AVANZADO, 1-2 veces/semana ,UNIVERSITARIA,31.0,3.0,14.0,1.0,2.0,0.0,274.77,65.9,75.7,200.0,23.9,165.0
