ID_Venta,Fecha_Venta,Fecha_Ingreso,ID_Cliente,Producto,Categoría,Talla,Color,Precio,Cantidad,Método_Pago,País_Origen,Satisfacción_Cliente,Edad_Cliente,Sexo_Cliente,Puntuación_Cliente
1,2022-01-01,,72,Pantalón deportivo,Pantalones,?,Azul,80.39,1,Punto de venta,Portugál,Muy satisfecho,39,Otro,5
2,2022-01-02,2025-12-01 00:00:00.000000000,8,Gorro,Accesorios, Única ,Rojo,30.24,2,etic EBvs enfo,México,Satisfecho,23,Mujer,3
3,2022-01-03,1999-01-01 00:00:00.000000000,59,Franela estampada,Fránélás,M,Blanco,18.07,0,Efectivo en B,méxico,Muy satisfecho,53,Mujer,5
4,2022-01-04,2025-12-01 00:00:00.000000000,111,Franela manga larga,Franelas,Talla M,Rojo,10.58,3,Efectivo en divisas,México,Neutral,62,Mujer,3
5,2022-01-05,2023-03-15 00:00:00.000000000,13,Camisa manga larga,Camisas,XL,Rojo,42.91,2,Efectivo en divisas,España,Satisfecho,53,Mujer,3
6,1900-01-01,2023-03-15 00:00:00.000000000,16,Camisa casual,Camisas,xl,Marró,24.58,1,Efectivo en divisas,CHINA,Satisfecho,39,Mujer,2
7,2022-01-07,,9999,Camisa casual,Camisas,xxl,Blanc,59.12,3,Pago móvil,Indi,satisfecho,31,Mujer,5
8,2022-01-08,,2,ripZtesospvoadtao ,ZAPATOS,37,Negro,87.3,4,Efectivo en divisas,España,Neutral,33,Hombre,5
9,2022-01-09,,145,FRANELA CUELLO V,Franelas,M,Beige,11.82,3,Efectivo en Bs,Chiná,Satisfecho,53,Mujer,0
10,2022-01-10,2023-03-15 00:00:00.000000000,30,Franela eztampada,Franelas,L,Azul,20.95,1,Efectivo en divisas,Italia,Satisfecho,42,Mujer,1
11,2022-01-11,2023-03-15 00:00:00.000000000,103,Camisa formal,Camisas,s,Márrón,55.97,3,Efectivo en Bs,China,Satisfecho,49,Otro,3
12,2022-01-12,,13,Gorro,Accesorios,N/A,Marrón,28.56,3,Efectivo en Bs,Indiaa,Neutral,50,Hombre,5
13,2022-01-13,2023-01-01 00:00:00.000000043,96,p aZmlsfsaoetrao,Zapatos,400,Gris,101.68,1,Efectivo en divisas,India,Muy satisfecho,62,Mujer,1
14,2022-01-14,,94,Pantalón chino,Pantalones,28-30,Beige,79.74,3,Efectivo en divisas,Italia,Insatisfecho,53,Mujer,2
15,2022-01-15,,82,Camisa formal,Camisas,xxl,Azul,17.98,1,Punto de venta,India,Muy satisfecho,37,Hombre,5
16,2022-01-16,2025-12-01 00:00:00.000000000,13,Camisa formal,camisas,S,Azul,42.94,1,Pago móvil,Italia,Muy satisfechoo,35,Hombre,5
17,2022-01-17,2023-07-10 00:00:00.000000000,94,PANTALÓN CHINO,Pantalones,32,Blanco,59.92,4,Efectivo en divisas,China,Muy satisfecho,55,Hombre,1
