ID_Cliente,Nombre_Gimnasio,Edad,Sexo,Tipo_Membresia,Actividad_Favorita,Frecuencia_Semanal,Método_Pago,Nivel,Fecha_Ingreso,Peso (kg),Altura (m),Satisfacción,Profesión
3001,Urban Fitness,52,Masculino,Semanal,Crossfit,5+ días,Pago móvil,Intermedio,2022-05-21,102.0,1.88,8,Independiente
3002,StrongLife,33,Masculino,mensual,spinning,1 día,efectivo,Avanzado,2022-04-03,83.5,1.65,8,Desemplead@
3003,GymPro,22,Femenino,Semanal,spinning,1-2 días,Efectivo,AVANZADO,2022-08-27,97.8,1.75,1,estudiante
3004,BodyTech,62,Otro,Semanal,Spinning,3-4 días,Efectivo,Intermedio,2022-07-24,115.1,1.9,8,Otro
3005,Urban Fitness,59,Masculino,Semanal,Yoga,1 día,Efectivo,principiante,2023-07-14,73.2,1.62,2,estudiante
3006,Wellness Club,15,Femenino,ANUAL,Pilates,5+ días,Efectivo,Intermedio,2023-03-09,98.1,1.61,6,Estudiante
3007,Vitality,36,Masculino,Semanal,Pesas,1 día,Transferencia,Avanzado,2022-09-02,80.7,1.78,1,Otro
3008,Urban Fitness,31,Masculino,Semanal,crossfit,1-2 días,Divisas,AVANZADO,2022-11-13,95.6,1.76,5,estudiante
3009,GymPro,21,Femenino,Trimestral,Pilates,5+ días,tarjeta,Avanzado,2022-10-22,102.2,1.64,7,EMPLEADO
3010,BodyTech,39,Femenino,Mensual,Crossfit,3-4 días,Transferencia,Principiante,2023-10-02,48.4,1.65,10,Independiente
3011,fitzone,59,Femenino,Anual,Pesas,5+ días,Transferencia,AVANZADO,2022-10-09,93.5,1.64,1,EMPLEADO
3012,POWERGYM,18,Femenino,Mensual,Funcional,5+ días,efectivo,Avanzado,2022-01-17,62.0,1.89,2,Desemplead@
3013,Vitaliti,50,Masculino,Semanal,Yoga,3 días,efectivo,principiante,2022-03-12,95.3,1.83,7,Desempleado
3014,Strong Life,20,Otro,Trimestral,Funcional,5+ días,Divisas,AVANZADO,2022-09-26,80.1,1.92,6,estudiante
3015,Body Tech,45,Femenino,mensual,Funcional,5+ días,tarjeta,AVANZADO,2022-11-21,103.0,1.99,3,Empleado
3016,Gimnasio Elite,33,Femenino,Trimestral,Boxeo,1 día,efectivo,Intermedio,2022-11-01,54.3,1.74,10,Empleado
3017,PowerGym,58,Femenino,Semanal,Pilates,3-4 días,Divisas,principiante,2023-03-27,92.0,1.53,2,independiente
3018,GymPro,53,Femenino,Trimestral,crossfit,1 día,Divisas,Principiante,2022-01-07,65.9,1.52,10,EMPLEADO
3019,Gimnasio Élite,41,Masculino,trimestral,Spinning,1 día,Tarjeta,Avanzado,2022-11-10,109.0,1.65,4,Independiente
3020,PowerGym,24,Femenino,Trimestral,crossfit,1-2 días,tarjeta,Intermedio,2022-04-13,114.6,1.97,3,estudiante
3021,BodyTech,40,Femenino,Mensual+,Funcional,1 día,efectivo,Avanzado,2022-07-12,119.7,1.76,7,Estudiante
3022,FitZone,33,Femenino,Anual+,Crossfit,3 días,tarjeta,Principiante,2023-07-28,104.7,1.64,8,independiente
3023,Wellness Club,53,Masculino,VIP,Yoga,3 días,Transferencia,Principiante,2023-06-13,101.5,1.7,2,Desemplead@
3024,Gimnasio Élite,17,Femenino,mensual,Baile,1-2 días,Transferencia,AVANZADO,2022-06-20,61.2,1.8,10,Otro
3025,MuscleLab,59,Masculino,anual,crossfit,3-4 días,tarjeta,Principiante,2023-06-21,70.2,1.83,7,Desemplead@
3026,FitZone,27,Femenino,Trimestral,Funcional,3-4 días,Tarjeta,Avanzado,2022-09-08,79.9,1.58,8,estudiante
3027,Wellness Club,64,Masculino,Trimestral,Yoga,1 día,Tarjeta,principiante,2023-01-22,103.0,1.99,6,Desempleado
3028,Vitality,42,Masculino,ANUAL,Pesas,1 día,tarjeta,principiante,2022-07-26,113.6,1.77,6,Otro
3029,Urban Fitness,34,Femenino,mensual,Pilates,1 día,efectivo,AVANZADO,2023-06-25,59.2,1.57,10,EMPLEADO
3030,StrongLife,42,Femenino,Semanal,spinning,3-4 días,Pago móvil,Avanzado,2023-09-21,114.2,1.95,1,estudiante
3031,MuscleLab,22,Masculino,Anual,Spining,5+ días,Tarjeta,Avanzado,2023-02-20,97.2,1.54,4,Desempleado
3032,Vitality,55,Otro,mensual,Cross-fit,3 días,Efectivo,Principiante,2023-01-15,90.8,1.95,1,EMPLEADO
3033,BodyTech,53,Masculino,Trimestral,YOGA,5+ días,Transferencia,Avanzado,2022-05-24,60.0,2.0,4,Desempleado
3034,Vitality,15,Masculino,mensual,pilates,5+ días,tarjeta,Intermedio,2022-01-25,49.2,1.85,2,EMPLEADO
3035,Urban Fitness,17,Otro,trimestral,Box,3-4 días,Efectivo,Principiante,2023-10-30,87.6,1.89,5,Independiente
3036,BodyTech,27,Masculino,Mensual,Funcional,5+ días,tarjeta,Intermedio,2022-03-14,93.9,1.67,10,Empleado
3037,MuscleLab,42,Femenino,Anual,Pilates,1-2 días,Divisas,AVANZADO,2023-09-24,60.8,1.97,9,Desemplead@
3038,Urban Fitness,63,Otro,Trimestral,Crossfit,1 día,Transferencia,principiante,2022-04-03,86.7,1.76,10,Independiente
3039,PowerGym,39,Femenino,Semanal,crossfit,1-2 días,Transferencia,AVANZADO,2023-05-20,109.2,1.87,3,Otro
3040,StrongLife,47,Masculino,ANUAL,spinning,3 días,Tarjeta,principiante,2023-08-21,107.6,1.96,8,independiente
3041,MuscleLab,52,Femenino,trimestral,Crossfit,1 día,efectivo,AVANZADO,2022-12-02,114.6,1.99,3,Empleado
3042,PowerGym,20,Femenino,Trimestral,spinning,5+ días,tarjeta,Avanzado,2023-03-01,72.4,1.92,6,Independiente
3043,Wellness Club,58,Femenino,Semanal,Funcional,3 días,Pago Movil,Intermedio,2023-05-14,68.9,1.65,4,estudiante
3044,MuscleLab,59,Masculino,ANUAL,Spinning,1 día,Transferncia,principiante,2022-12-30,101.2,1.98,8,Desempleado
3045,Wellness Club,46,Femenino,ANUAL,Pilates,5+ días,Efectivo,Principiante,2023-09-22,77.3,1.81,6,Otro
3046,BodyTech,59,Femenino,Trimestral,Spinning,1-2 días,Tarjeta,Intermedio,2022-07-18,51.6,1.97,8,estudiante
3047,PowerGym,61,Femenino,trimestral,Funcional,1 día,Efectivo,Principiante,2023-12-19,66.2,1.84,1,Empleado
3048,StrongLife,35,Masculino,mensual,Pilates,5+ días,Pago móvil,Intermedio,2023-02-17,76.4,1.65,6,Desempleado
3049,Urban Fitness,30,masculino,mensual,Yoga,1-2 días,Efectivo,Intermedio,2022-12-05,66.9,1.69,1,Otro
3050,GymPro,35,Masculino,ANUAL,Yoga,3 días,efectivo,AVANZADO,2023-10-21,69.9,1.78,1,independiente
3051,Vitality,25,Masculino,mensual,spinning,3 días,Efectivo,PRINCIPIANTE,2023-03-05,67.0,1.9,8,Empleado
3052,FitZone,51,Masculino,Mensual,Funcional,3 días,Divisas,intermedio,2022-05-19,48.1,1.66,7,Otro
3053,StrongLife,50,Masculino,ANUAL,spinning,3 días,efectivo,Avanzado,2023-11-24,92.8,1.79,3,Independiente
3054,PowerGym,49,Femenino,ANUAL,Boxeo,3-4 días,efectivo,novato,2023-06-26,89.8,1.67,6,Otro
3055,GymPro,33,Femenino,Semanal,Crossfit,1 día,efectivo,avanzado,2022-02-26,94.0,1.91,9,Empleado
3056,StrongLife,34,Femenino,mensual,Baile,1 día,Pago móvil,Intermedio,2022-08-20,59.4,1.73,7,Independiente
3057,PowerGym,32,Femenino,trimestral,Boxeo,3-4 días,Efectivo,Principiante,2023-10-20,67.2,1.54,3,estudiante
3058,Gimnasio Élite,61,Femenino,ANUAL,Crossfit,5+ días,Divisas,AVANZADO,2023-03-11,91.5,1.58,6,Empleado
3059,Gimnasio Élite,55,Masculino,trimestral,Pilates,5+ días,Efectivo,Intermedio,2023-01-19,90.0,1.53,4,Estudiante
3060,Wellness Club,63,Femenino,Mensual,spinning,3 días,Pago móvil,Principiante,2023-07-14,83.0,1.75,3,independiente
3061,StrongLife,28, Femenino,Semanal,Pilates,1-2 días,Transferencia,Principiante,2022-07-13,71.3,1.55,9,Estudiante
3062,Gimnasio Élite,29,Masculino ,Trimestral,Pilates,5+ días,Tarjeta,Intermedio,2023-10-10,113.5,1.56,10,Desemplead@
3063,PowerGym,45, Otro ,trimestral,Crossfit,1-2 días,Divisas,AVANZADO,2023-06-18,70.5,1.97,2,Desempleado
3064,Wellness Club,15, femenino ,ANUAL,Funcional,1 día,Divisas,Principiante,2023-06-02,79.2,1.94,1,EMPLEADO
3065,PowerGym,17, MASCULINO,Mensual,Crossfit,1-2 días,Efectivo,AVANZADO,2023-12-17,95.9,1.73,2,independiente
3066,Wellness Club,30,Otro ,Anual,Pesas,1 día,Tarjeta,principiante,2022-07-04,85.7,1.99,7,Estudiante
3067,StrongLife,37,Masculino,Mensual,Yoga,3-4 días,tarjeta,AVANZADO,2022-10-19,71.0,1.5,10,EMPLEADO
3068,GymPro,25,Masculino,Mensual,Yoga,3-4 días,tarjeta,Avanzado,2022-12-01,77.7,1.81,1,independiente
3069,Urban Fitness,26,Masculino,Semanal,Boxeo,3 días,Pago móvil,Avanzado,2022-04-26,104.6,1.81,6,EMPLEADO
3070,MuscleLab,24,Masculino,Trimestral,Yoga,5+ días,tarjeta,AVANZADO,2022-02-18,65.9,1.73,7,Independiente
3071,GymPro,46,Masculino,Anual,Crossfit,3 días,Divisas,Avanzado,2023-11-16,30,1.7,9,Estudiante
3072,BodyTech,30,Masculino,mensual,crossfit,1 día,tarjeta,principiante,2022-03-23,200,1.73,8,Otro
3073,PowerGym,22,Femenino,mensual,spinning,3 días,Transferencia,Intermedio,2022-11-29,cincuenta,1.71,6,Independiente
3074,BodyTech,52,Femenino,trimestral,Crossfit,1-2 días,Transferencia,Avanzado,2023-07-11,,1.87,3,independiente
3075,GymPro,26,Femenino,Mensual,Crossfit,1 día,Transferencia,Avanzado,2022-12-01,110,1.57,8,independiente
