ID_Evento,Año_Evento,Ciudad,Asistentes,Estilo_Danza,Nivel_Artista,¿Pago?,Precio_Entrada (USD),Tipo_Evento,Patrocinador,¿Streaming?,Duración_Evento (hrs),Valoración_Público,Fecha_Evento
3001,2021,Lima,251.6,Salsa,Intermedio,Si,83.71,Competencia,Adidas,No,10.0,3,2017-05-13
3002,2018,Caracas,50.8,Contemporáneo,Principiante,No,43.72,Competencia,Gobierno,No,5.7,3,2016-08-04
3003,2025,Madrid,54.9,Ballet,Intermedio,Gratis,91.55,Competencia,Gobierno,No,10.9,1,2023-05-29
3004,2022,Caracas,305.2,Urbano,Élite,Sí,72.15,Festival,Local,Sí,1.8,5,2016-11-25
3005,2019,Bogotá,281.3,Contemporáneo,Principiante,No,61.04,Festival,Local,Sí,11.5,4,2018-06-05
3006,2021,Bogotá,114.2,Ballet,Intermedio,Sí,94.93,Competencia,Ninguno,No,8.2,2,2023-09-09
3007,2024,Bogotá,473.6,Ballet,Intermedio,No,39.66,Gala,Ninguno,No,5.2,4,2019-05-30
3008,2017,Caracas,392.8,Contemporáneo,Principiante,No,95.41,Festival,Gobierno,No,3.2,4,2024-07-20
3009,2021,Bogotá,65.6,Hip Hop,Élite,No,13.5,Festival,Adidas,No,6.3,5,2018-05-24
3010,2025,Ciudad de México,466.2,Ballet,Avanzado,No,48.38,Gala,Local,No,3.1,4,2021-09-20
3011,2025,Buenos Aires,487.4,Hip-Hop,Semiprofesional,Gratis,26.99,,Ninguno,Sí,2.8,4,2016-02-03
3012,2022,Madrid,498.0,Hip-Hop,Principiante,No,53.98,Gala,Ninguno,Sí,7.8,3,2020-04-30
3013,2019,Caracas,37.4,Hip-Hop,Avanzado,Gratis,16.2,Exhibición,Adidas,No,6.8,5,2016-12-15
3014,2018,Buenos Aires,371.1,Hip-Hop,Intermedio,Si,84.15,Festival,Nike,,8.4,1,2016-12-04
3015,2022,caracas,277.5,Hip-Hop,Élite,Si,84.64,Taller,Gobierno,Sí,11.2,2,2022-09-09
3016,2022,MADRID,355.9,Hip-Hop,Élite,No,95.52,,Nike,Sí,6.9,4,2021-12-21
3017,2017,buenos aires,484.6,salsa,Principiante,Sí,15.47,Taller,Nike,Sí,7.4,2,2024-09-06
3018,2020,Cdad de México,347.1,BALLET,Semiprofesional,Gratis,62.33,Gala,Gobierno,Sí,2.0,1,2019-09-11
3019,2019,Bogotá,420.1,urbano,principiante,No,47.42,Festival,Local,No,8.9,2,2020-05-26
3020,2016,Madrid,434.8,Contempráneo,AVANZADO,Sí,34.44,Gala,Nike,No,5.4,1,2023-04-10
3021,2022,Caracas,420.9,Salsa,Semiprofesional,Si,-10.0,Festival,Gobierno,Sí,11.7,3,2015-03-23
3022,2020,Buenos Aires,218.8,Salsa,Intermedio,Sí,500.0,competencia,Nike,Sí,10.1,4,2016-08-26
3023,2016,Ciudad de México,119.1,Salsa,Avanzado,No,999.0,TALLER,Nike,No,6.7,1,2020-05-24
3024,2019,Buenos Aires,204.4,Ballet,Élite,No,800.0,Festval,Adidas,Sí,2.4,2,2019-09-07
3025,2015,Buenos Aires,447.0,Salsa,Intermedio,Sí,-5.0,Competencia,nike,,10.5,4,2020-08-08
3026,2024,Buenos Aires,81.8,Hip Hop,Avanzado,Sí,120.0,,ADIDAS,No,9.8,3,2022-09-20
3027,2020,Madrid,261.5,Contemporáneo,Élite,Sí,7.78,Gala,Adiddas,No,3.0,4,2017-06-21
3028,2023,Caracas,124.3,Hip Hop,Intermedio,si,0.23,Exhibición,Ninguno,Sí,4.2,1,2015-12-31
3029,2015,Ciudad de México,294.8,Flamenco,Intermedio,NO,96.77,Gala,Ninguno,Sí,9.7,3,2015-06-12
3030,2025,Caracas,432.9,Ballet,Avanzado,Grtis,0.53,Taller,Adidas,No,3.0,2,2023-07-17
